"[19409.0, 21102.0, 21661.0, 18862.0, 21184.0, 25691.0]","[15010.0, 18588.0, 16229.0, 16922.0, 15968.0, 18384.0]","[33207.0, 32663.0, 31284.0, 32880.0, 33342.0, 31173.0]","[9660.0, 13347.0, 7614.0, 12442.0, 13419.0, 20641.0]","[17333.0, 18576.0, 19516.0, 18569.0, 19525.0, 18220.0]","[27989.0, 26845.0, 25824.0, 28577.0, 25438.0, 28159.0]","[16575.0, 15465.0, 17309.0, 19216.0, 16268.0, 18568.0]","[28339.0, 30683.0, 29848.0, 30820.0, 28949.0, 34887.0]","[32631.0, 20537.0, 24736.0, 24473.0, 21781.0, 31387.0]","[32742.0, 29434.0, 33594.0, 33427.0, 31843.0, 31484.0]"
"[29638.0, 23117.0, 13036.0, 26148.0, 16751.0, 24124.0]","[11743.0, 20620.0, 16414.0, 17482.0, 13712.0, 16135.0]","[22678.0, 12470.0, 18582.0, 18865.0, 6603.0, 8525.0]","[17559.0, 24776.0, 20095.0, 21661.0, 20673.0, 27176.0]","[11208.0, 18207.0, 26623.0, 29356.0, 15098.0, 20175.0]","[35567.0, 33642.0, 35163.0, 35842.0, 34330.0, 35684.0]","[36126.0, 24172.0, 23645.0, 35215.0, 22848.0, 30016.0]","[26633.0, 22745.0, 23842.0, 15238.0, 22200.0, 20982.0]","[19800.0, 20854.0, 16510.0, 12822.0, 15594.0, 18444.0]","[22723.0, 19100.0, 22118.0, 18504.0, 25071.0, 18390.0]"
"[27192.0, 21502.0, 26118.0, 20344.0, 16731.0, 21424.0]","[12847.0, 28000.0, 22936.0, 29216.0, 17125.0, 14093.0]","[13139.0, 14187.0, 12821.0, 14539.0, 12821.0, 15779.0]","[40788.0, 31404.0, 29666.0, 34009.0, 26713.0, 34676.0]","[27262.0, 28490.0, 22681.0, 38826.0, 28257.0, 27664.0]","[31391.0, 32988.0, 33399.0, 33575.0, 34322.0, 29140.0]","[36847.0, 32512.0, 35886.0, 31691.0, 43603.0, 36159.0]","[33644.0, 27196.0, 33844.0, 26249.0, 26145.0, 27805.0]","[34366.0, 25791.0, 30497.0, 32781.0, 30070.0, 32471.0]","[38377.0, 33343.0, 34391.0, 33624.0, 34799.0, 34504.0]"
"[12555.0, 15873.0, 25186.0, 12651.0, 25372.0, 11492.0]","[13743.0, 21010.0, 30557.0, 30856.0, 26874.0, 19624.0]","[19138.0, 22961.0, 25822.0, 34832.0, 12443.0, 10190.0]","[16258.0, 17276.0, 21251.0, 18020.0, 16032.0, 13927.0]","[28026.0, 35940.0, 28408.0, 31137.0, 33797.0, 28342.0]","[31253.0, 31074.0, 37076.0, 26623.0, 20645.0, 22417.0]","[3350.0, 28456.0, 28842.0, 21870.0, 19438.0, 35432.0]","[12860.0, 14406.0, 14969.0, 13522.0, 14361.0, 12755.0]","[11521.0, 9219.0, 8187.0, 10695.0, 20323.0, 18282.0]","[28586.0, 39764.0, 32410.0, 35809.0, 28674.0, 42490.0]"
"[14198.0, 12393.0, 16519.0, 13552.0, 15363.0, 8838.0]","[33283.0, 31441.0, 33999.0, 32837.0, 33347.0, 31715.0]","[24799.0, 23096.0, 27382.0, 26558.0, 25056.0, 29709.0]","[37566.0, 34869.0, 35821.0, 32940.0, 34650.0, 35006.0]","[23113.0, 28268.0, 43610.0, 29776.0, 24610.0, 26380.0]","[30990.0, 33814.0, 30378.0, 32190.0, 32852.0, 33850.0]","[26456.0, 19648.0, 28196.0, 30152.0, 23250.0, 28720.0]","[12811.0, 17616.0, 24708.0, 28820.0, 6451.0, 10209.0]","[27923.0, 24647.0, 24244.0, 23698.0, 24001.0, 24141.0]","[32596.0, 40326.0, 31880.0, 39172.0, 32807.0, 35050.0]"
"[25447.0, 26625.0, 33902.0, 30672.0, 33309.0, 37754.0]","[32950.0, 34917.0, 25755.0, 31381.0, 31139.0, 32411.0]","[12657.0, 15988.0, 27321.0, 18128.0, 13094.0, 26742.0]","[16172.0, 1571.0, 17662.0, 11871.0, 21316.0, 14222.0]","[24682.0, 28508.0, 28027.0, 10006.0, 25337.0, 13663.0]","[25739.0, 28355.0, 24844.0, 27898.0, 13098.0, 33367.0]","[18791.0, 18686.0, 20850.0, 13977.0, 23113.0, 12920.0]","[23833.0, 21756.0, 20140.0, 20274.0, 27452.0, 26386.0]","[21669.0, 23988.0, 19136.0, 26685.0, 20662.0, 24286.0]","[6078.0, 18510.0, 17343.0, 21373.0, 3238.0, 7496.0]"
"[37240.0, 31613.0, 34191.0, 31768.0, 32933.0, 31143.0]","[28873.0, 24454.0, 26262.0, 27033.0, 28826.0, 24663.0]","[23395.0, 27614.0, 22746.0, 25701.0, 23817.0, 25583.0]","[24539.0, 5040.0, 6475.0, 22271.0, 16142.0, 25060.0]","[15664.0, 12744.0, 10889.0, 11947.0, 10193.0, 13742.0]","[38360.0, 25946.0, 46398.0, 21994.0, 27003.0, 35556.0]","[15684.0, 27399.0, 19531.0, 18223.0, 29831.0, 28197.0]","[22563.0, 16683.0, 18149.0, 18375.0, 27450.0, 17100.0]","[20614.0, 24418.0, 35123.0, 32804.0, 19474.0, 30785.0]","[24013.0, 25061.0, 33991.0, 27968.0, 26162.0, 33906.0]"
"[23697.0, 15596.0, 26871.0, 9432.0, 5135.0, 14797.0]","[20553.0, 30308.0, 22309.0, 20658.0, 22637.0, 26192.0]","[35602.0, 34685.0, 33112.0, 33454.0, 35802.0, 37718.0]","[43409.0, 38923.0, 34861.0, 33409.0, 31238.0, 24331.0]","[35318.0, 33088.0, 37144.0, 34312.0, 35500.0, 35522.0]","[23190.0, 31628.0, 25358.0, 33868.0, 28954.0, 27232.0]","[54021.0, 37231.0, 37753.0, 24933.0, 42001.0, 23079.0]","[9069.0, 17661.0, 18799.0, 21903.0, 19842.0, 25614.0]","[33728.0, 39746.0, 35576.0, 27553.0, 39956.0, 34411.0]","[32272.0, 31508.0, 33969.0, 27083.0, 32210.0, 31487.0]"
"[19142.0, 19728.0, 19242.0, 18873.0, 17039.0, 18454.0]","[14108.0, 13283.0, 13080.0, 14301.0, 13977.0, 14125.0]","[10655.0, 20409.0, 14147.0, 18022.0, 20810.0, 8996.0]","[30810.0, 34149.0, 31753.0, 31785.0, 24110.0, 33512.0]","[20662.0, 25110.0, 22565.0, 24437.0, 23173.0, 22852.0]","[34842.0, 33087.0, 30920.0, 32598.0, 35123.0, 34390.0]","[12877.0, 25767.0, 7600.0, 9928.0, 21547.0, 29541.0]","[25654.0, 44411.0, 33813.0, 31682.0, 37512.0, 25808.0]","[31880.0, 21975.0, 50498.0, 27888.0, 39705.0, 38963.0]","[32131.0, 33830.0, 31070.0, 31180.0, 34414.0, 32259.0]"
"[14293.0, 16281.0, 12394.0, 17379.0, 15519.0, 16463.0]","[32204.0, 32280.0, 37308.0, 38694.0, 28758.0, 39526.0]","[24141.0, 27948.0, 32522.0, 26953.0, 24409.0, 11531.0]","[16516.0, 14500.0, 20038.0, 20270.0, 22274.0, 18535.0]","[21705.0, 36347.0, 33261.0, 17252.0, 22679.0, 21685.0]","[18111.0, 17970.0, 11684.0, 8960.0, 17660.0, 33494.0]","[16318.0, 21048.0, 20411.0, 21594.0, 21714.0, 19582.0]","[25677.0, 32553.0, 20114.0, 28312.0, 22843.0, 30932.0]","[21227.0, 18186.0, 19647.0, 23034.0, 30147.0, 31977.0]","[14313.0, 18479.0, 23277.0, 24865.0, 22880.0, 3648.0]"
